ionizable_ratio,helper_ratio,sterol_ratio,peg_ratio,particle_size_nm,encapsulation_efficiency,ionizable_4A3-SC8,ionizable_A2-Iso5-2DC18,ionizable_ALC-0315,ionizable_AX4,ionizable_C12-200,ionizable_Custom lipid,ionizable_DLin-KC2-DMA,ionizable_DLin-MC3-DMA,ionizable_DLinDMA,ionizable_DODAP,ionizable_DOTAP,ionizable_DOTMA,ionizable_L202,ionizable_OF-02,ionizable_Other,ionizable_SM-102
50.0,10.0,38.5,1.5,173.6,78.45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50.0,10.0,38.5,1.5,182.6,88.62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50.0,10.0,38.5,1.5,129.2,85.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50.0,10.0,38.5,1.5,125.4,85.71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50.0,10.0,38.5,1.5,126.6,76.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50.0,10.0,38.5,1.5,134.6,83.02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50.0,10.0,38.5,1.5,139.4,86.24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40.0,30.0,28.5,1.5,112.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25.5,28.5,45.0,1.0,120.0,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40.3,43.7,14.9,1.1,125.0,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29.0,48.3,21.7,1.0,119.0,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56.5,10.0,31.8,1.7,117.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52.7,17.5,28.7,1.1,125.0,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34.9,47.7,16.3,1.1,119.0,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59.9,17.0,20.2,2.9,100.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
