lnp_id,ionizable_lipid,peg_lipid,sterol_lipid,helper_lipid,lipid_molar_ratio,particle_size_nm_std,pdi_std,zeta_potential_mv_std,encapsulation_efficiency_percent_std,loading_capacity_std,target_type,nucleic_acid_sequence,peg_lipid_original,ionizable_lipid_original,helper_lipid_original,sterol_lipid_original,ionizable_lipid_smiles,peg_lipid_smiles,sterol_lipid_smiles,helper_lipid_smiles,synthesis_info,bioactivity_profile,paper_title,paper_authors,paper_doi,paper_journal,paper_year,encapsulation_efficiency,lipid_molar_ratio_clean,ionizable_ratio,helper_ratio,sterol_ratio,peg_ratio,ratio_sum,particle_size_nm,ionizable_lipid_grouped
466,Custom lipid,C14-PEG2000,cholesterol,DSPC,50:1.5:38.5:10,173.6,0.184,,78.45,CONC:0.1(¥ìg/¥ìL)[mRNA],mRNA,firefly_luciferase,C14-PEG2000,H1A1B1,DSPC,cholesterol,,CCCCCCCCCCCCCCOC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,"synthesis_method: Microfluidic; device_used: T-junction device; total_flow_rate_ml_min: ; flow_rate_ratio: ; aqueous_phase_composition: 10 mM citrate buffer, pH 4.0; organic_phase_composition: ethanol; mixing_time_sec: ; temperature_condition: room temperature; post_processing: dialyzed against 1¡¿ PBS in 10,000 MWCO cassette at 4¡ÆC for 12 h; sterilization: ; storage_buffer: 1¡¿ PBS",animal_model: C57BL/6 mice; administration_route: intramuscular (I.M.); dose: 0.32 mg/kg mLuc; gene_expression_result: measured by IVIS imaging; biodistribution_result: muscle tissue,Rational design and modular synthesis of biodegradable ionizable lipids via the Passerini reaction for mRNA delivery,"['Yue Xu', 'Fanglin Gong', 'Alex Golubovic', 'Amy Strilchuk', 'Jingan Chen', 'Muye Zhou', 'Songtao Dong', 'Breanna Seto', 'Bowen Li']",https://doi.org/10.1073/pnas.2409572122,PNAS,2025.0,78.45,50:1.5:38.5:10,50.0,10.0,38.5,1.5,100.0,173.6,Custom lipid
467,Custom lipid,C14-PEG2000,cholesterol,DSPC,50:1.5:38.5:10,182.6,0.209,,88.62,CONC:0.1(¥ìg/¥ìL)[mRNA],mRNA,firefly_luciferase,C14-PEG2000,H1A1B2,DSPC,cholesterol,,CCCCCCCCCCCCCCOC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,"synthesis_method: Microfluidic; device_used: T-junction device; total_flow_rate_ml_min: ; flow_rate_ratio: ; aqueous_phase_composition: 10 mM citrate buffer, pH 4.0; organic_phase_composition: ethanol; mixing_time_sec: ; temperature_condition: room temperature; post_processing: dialyzed against 1¡¿ PBS in 10,000 MWCO cassette at 4¡ÆC for 12 h; sterilization: ; storage_buffer: 1¡¿ PBS",animal_model: C57BL/6 mice; administration_route: intramuscular (I.M.); dose: 0.32 mg/kg mLuc; gene_expression_result: measured by IVIS imaging; biodistribution_result: muscle tissue,Rational design and modular synthesis of biodegradable ionizable lipids via the Passerini reaction for mRNA delivery,"['Yue Xu', 'Fanglin Gong', 'Alex Golubovic', 'Amy Strilchuk', 'Jingan Chen', 'Muye Zhou', 'Songtao Dong', 'Breanna Seto', 'Bowen Li']",https://doi.org/10.1073/pnas.2409572122,PNAS,2025.0,88.62,50:1.5:38.5:10,50.0,10.0,38.5,1.5,100.0,182.6,Custom lipid
468,Custom lipid,C14-PEG2000,cholesterol,DSPC,50:1.5:38.5:10,129.2,0.139,,85.73,CONC:0.1(¥ìg/¥ìL)[mRNA],mRNA,firefly_luciferase,C14-PEG2000,H1A1B3,DSPC,cholesterol,,CCCCCCCCCCCCCCOC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,"synthesis_method: Microfluidic; device_used: T-junction device; total_flow_rate_ml_min: ; flow_rate_ratio: ; aqueous_phase_composition: 10 mM citrate buffer, pH 4.0; organic_phase_composition: ethanol; mixing_time_sec: ; temperature_condition: room temperature; post_processing: dialyzed against 1¡¿ PBS in 10,000 MWCO cassette at 4¡ÆC for 12 h; sterilization: ; storage_buffer: 1¡¿ PBS",animal_model: C57BL/6 mice; administration_route: intramuscular (I.M.); dose: 0.32 mg/kg mLuc; gene_expression_result: measured by IVIS imaging; biodistribution_result: muscle tissue,Rational design and modular synthesis of biodegradable ionizable lipids via the Passerini reaction for mRNA delivery,"['Yue Xu', 'Fanglin Gong', 'Alex Golubovic', 'Amy Strilchuk', 'Jingan Chen', 'Muye Zhou', 'Songtao Dong', 'Breanna Seto', 'Bowen Li']",https://doi.org/10.1073/pnas.2409572122,PNAS,2025.0,85.73,50:1.5:38.5:10,50.0,10.0,38.5,1.5,100.0,129.2,Custom lipid
469,Custom lipid,C14-PEG2000,cholesterol,DSPC,50:1.5:38.5:10,125.4,0.155,,85.71,CONC:0.1(¥ìg/¥ìL)[mRNA],mRNA,firefly_luciferase,C14-PEG2000,H1A1B4,DSPC,cholesterol,,CCCCCCCCCCCCCCOC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,"synthesis_method: Microfluidic; device_used: T-junction device; total_flow_rate_ml_min: ; flow_rate_ratio: ; aqueous_phase_composition: 10 mM citrate buffer, pH 4.0; organic_phase_composition: ethanol; mixing_time_sec: ; temperature_condition: room temperature; post_processing: dialyzed against 1¡¿ PBS in 10,000 MWCO cassette at 4¡ÆC for 12 h; sterilization: ; storage_buffer: 1¡¿ PBS",animal_model: C57BL/6 mice; administration_route: intramuscular (I.M.); dose: 0.32 mg/kg mLuc; gene_expression_result: measured by IVIS imaging; biodistribution_result: muscle tissue,Rational design and modular synthesis of biodegradable ionizable lipids via the Passerini reaction for mRNA delivery,"['Yue Xu', 'Fanglin Gong', 'Alex Golubovic', 'Amy Strilchuk', 'Jingan Chen', 'Muye Zhou', 'Songtao Dong', 'Breanna Seto', 'Bowen Li']",https://doi.org/10.1073/pnas.2409572122,PNAS,2025.0,85.71,50:1.5:38.5:10,50.0,10.0,38.5,1.5,100.0,125.4,Custom lipid
470,Custom lipid,C14-PEG2000,cholesterol,DSPC,50:1.5:38.5:10,126.6,0.193,,76.7,CONC:0.1(¥ìg/¥ìL)[mRNA],mRNA,firefly_luciferase,C14-PEG2000,H1A2B1,DSPC,cholesterol,,CCCCCCCCCCCCCCOC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,"synthesis_method: Microfluidic; device_used: T-junction device; total_flow_rate_ml_min: ; flow_rate_ratio: ; aqueous_phase_composition: 10 mM citrate buffer, pH 4.0; organic_phase_composition: ethanol; mixing_time_sec: ; temperature_condition: room temperature; post_processing: dialyzed against 1¡¿ PBS in 10,000 MWCO cassette at 4¡ÆC for 12 h; sterilization: ; storage_buffer: 1¡¿ PBS",animal_model: C57BL/6 mice; administration_route: intramuscular (I.M.); dose: 0.32 mg/kg mLuc; gene_expression_result: measured by IVIS imaging; biodistribution_result: muscle tissue,Rational design and modular synthesis of biodegradable ionizable lipids via the Passerini reaction for mRNA delivery,"['Yue Xu', 'Fanglin Gong', 'Alex Golubovic', 'Amy Strilchuk', 'Jingan Chen', 'Muye Zhou', 'Songtao Dong', 'Breanna Seto', 'Bowen Li']",https://doi.org/10.1073/pnas.2409572122,PNAS,2025.0,76.7,50:1.5:38.5:10,50.0,10.0,38.5,1.5,100.0,126.6,Custom lipid
471,Custom lipid,C14-PEG2000,cholesterol,DSPC,50:1.5:38.5:10,134.6,0.141,,83.02,CONC:0.1(¥ìg/¥ìL)[mRNA],mRNA,firefly_luciferase,C14-PEG2000,H2A4B3,DSPC,cholesterol,,CCCCCCCCCCCCCCOC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,"synthesis_method: Microfluidic; device_used: T-junction device; total_flow_rate_ml_min: ; flow_rate_ratio: ; aqueous_phase_composition: 10 mM citrate buffer, pH 4.0; organic_phase_composition: ethanol; mixing_time_sec: ; temperature_condition: room temperature; post_processing: dialyzed against 1¡¿ PBS in 10,000 MWCO cassette at 4¡ÆC for 12 h; sterilization: ; storage_buffer: 1¡¿ PBS",animal_model: C57BL/6 mice; administration_route: intramuscular (I.M.); dose: 0.05 mg/kg mLuc; gene_expression_result: measured by IVIS imaging; biodistribution_result: muscle tissue,Rational design and modular synthesis of biodegradable ionizable lipids via the Passerini reaction for mRNA delivery,"['Yue Xu', 'Fanglin Gong', 'Alex Golubovic', 'Amy Strilchuk', 'Jingan Chen', 'Muye Zhou', 'Songtao Dong', 'Breanna Seto', 'Bowen Li']",https://doi.org/10.1073/pnas.2409572122,PNAS,2025.0,83.02,50:1.5:38.5:10,50.0,10.0,38.5,1.5,100.0,134.6,Custom lipid
472,Custom lipid,C14-PEG2000,cholesterol,DSPC,50:1.5:38.5:10,139.4,0.154,,86.24,CONC:0.1(¥ìg/¥ìL)[mRNA],mRNA,firefly_luciferase,C14-PEG2000,H2A4B4,DSPC,cholesterol,,CCCCCCCCCCCCCCOC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,"synthesis_method: Microfluidic; device_used: T-junction device; total_flow_rate_ml_min: ; flow_rate_ratio: ; aqueous_phase_composition: 10 mM citrate buffer, pH 4.0; organic_phase_composition: ethanol; mixing_time_sec: ; temperature_condition: room temperature; post_processing: dialyzed against 1¡¿ PBS in 10,000 MWCO cassette at 4¡ÆC for 12 h; sterilization: ; storage_buffer: 1¡¿ PBS",animal_model: C57BL/6 mice; administration_route: intramuscular (I.M.); dose: 0.05 mg/kg mLuc; gene_expression_result: measured by IVIS imaging; biodistribution_result: muscle tissue,Rational design and modular synthesis of biodegradable ionizable lipids via the Passerini reaction for mRNA delivery,"['Yue Xu', 'Fanglin Gong', 'Alex Golubovic', 'Amy Strilchuk', 'Jingan Chen', 'Muye Zhou', 'Songtao Dong', 'Breanna Seto', 'Bowen Li']",https://doi.org/10.1073/pnas.2409572122,PNAS,2025.0,86.24,50:1.5:38.5:10,50.0,10.0,38.5,1.5,100.0,139.4,Custom lipid
477,OF-02,DMG-PEG5k,cholesterol,DOPE,40:1.5:28.5:30,112,0.104,20,90,NP:fixed(molar),mRNA,epo,DMG-PEG5k,OF-02,DOPE,cholesterol,CCCCC/C=C\C/C=C\CCCCCCC(O)CN(CC(O)CCCCCC/C=C\C/C=C\CCCCC)CCCCC1NC(=O)C(NC1=O)CCCCN(CC(O)CCCCCC/C=C\C/C=C\CCCCC)CC(O)CCCCCC/C=C\C/C=C\CCCCC,,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,"synthesis_method: Microfluidic mixing; device_used: ; total_flow_rate_ml_min: ; flow_rate_ratio: ; aqueous_phase_composition: mRNA in acidic buffer; organic_phase_composition: Ethanol with lipids; mixing_time_sec: ; temperature_condition: ; post_processing: dialysis, ultrafiltration, diafiltration; sterilization: filtered; storage_buffer: trehalose solution (pH ~5), stored at -80¡ÆC","animal_model: female BALB/c mice (6-8 weeks); administration_route: IM; dose: 0.1 ¥ìg hEPO mRNA; gene_expression_result: ~36 ng/mL hEPO (6h post-injection, 1.2x relative)","PEGylated lipid screening, composition optimization, and structure?activity relationship determination for lipid nanoparticle-mediated mRNA delivery","['Lingyun Liu', 'Jae-Heon Kim', 'Zhongyu Li', 'Mengwei Sun', 'Trent Northen', 'Jackie Tang', 'Emma Mcintosh', 'Shrirang Karve', 'Frank DeRosa']",10.1039/d5nr00433k,Nanoscale,2025.0,90.0,40:1.5:28.5:30,40.0,30.0,28.5,1.5,100.0,112.0,OF-02
478,OF-02,DMG-PEG5k,cholesterol,DOPE,25.5:1:45:28.5,120,0.111,19,91,NP:fixed(molar),mRNA,epo,DMG-PEG5k,OF-02,DOPE,cholesterol,CCCCC/C=C\C/C=C\CCCCCCC(O)CN(CC(O)CCCCCC/C=C\C/C=C\CCCCC)CCCCC1NC(=O)C(NC1=O)CCCCN(CC(O)CCCCCC/C=C\C/C=C\CCCCC)CC(O)CCCCCC/C=C\C/C=C\CCCCC,,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,"synthesis_method: Microfluidic mixing; device_used: ; total_flow_rate_ml_min: ; flow_rate_ratio: ; aqueous_phase_composition: mRNA in acidic buffer; organic_phase_composition: Ethanol with lipids; mixing_time_sec: ; temperature_condition: ; post_processing: dialysis, ultrafiltration, diafiltration; sterilization: filtered; storage_buffer: trehalose solution (pH ~5), stored at -80¡ÆC","animal_model: female BALB/c mice (6-8 weeks); administration_route: IM; dose: 0.1 ¥ìg hEPO mRNA; gene_expression_result: ~45 ng/mL hEPO (6h post-injection, 1.5x relative)","PEGylated lipid screening, composition optimization, and structure?activity relationship determination for lipid nanoparticle-mediated mRNA delivery","['Lingyun Liu', 'Jae-Heon Kim', 'Zhongyu Li', 'Mengwei Sun', 'Trent Northen', 'Jackie Tang', 'Emma Mcintosh', 'Shrirang Karve', 'Frank DeRosa']",10.1039/d5nr00433k,Nanoscale,2025.0,91.0,25.5:1:45:28.5,25.5,28.5,45.0,1.0,100.0,120.0,OF-02
479,OF-02,DMG-PEG5k,cholesterol,DOPE,40.3:1.1:14.9:43.7,125,0.067,21,89,NP:fixed(molar),mRNA,epo,DMG-PEG5k,OF-02,DOPE,cholesterol,CCCCC/C=C\C/C=C\CCCCCCC(O)CN(CC(O)CCCCCC/C=C\C/C=C\CCCCC)CCCCC1NC(=O)C(NC1=O)CCCCN(CC(O)CCCCCC/C=C\C/C=C\CCCCC)CC(O)CCCCCC/C=C\C/C=C\CCCCC,,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,"synthesis_method: Microfluidic mixing; device_used: ; total_flow_rate_ml_min: ; flow_rate_ratio: ; aqueous_phase_composition: mRNA in acidic buffer; organic_phase_composition: Ethanol with lipids; mixing_time_sec: ; temperature_condition: ; post_processing: dialysis, ultrafiltration, diafiltration; sterilization: filtered; storage_buffer: trehalose solution (pH ~5), stored at -80¡ÆC",animal_model: female BALB/c mice (6-8 weeks); administration_route: IM; dose: 0.1 ¥ìg hEPO mRNA; gene_expression_result: 0.27x relative to Std1,"PEGylated lipid screening, composition optimization, and structure?activity relationship determination for lipid nanoparticle-mediated mRNA delivery","['Lingyun Liu', 'Jae-Heon Kim', 'Zhongyu Li', 'Mengwei Sun', 'Trent Northen', 'Jackie Tang', 'Emma Mcintosh', 'Shrirang Karve', 'Frank DeRosa']",10.1039/d5nr00433k,Nanoscale,2025.0,89.0,40.3:1.1:14.9:43.7,40.3,43.7,14.9,1.1,100.0,125.0,OF-02
